country,count
Algeria,20
Angola,4
Argentina,8
Australia,247
Austria,67
Azerbaijan,4
Belarus,32
Belgium,70
Bosnia and Herzegovina,2
Botswana,1
Brazil,73
Brunei,2
Bulgaria,5
Canada,337
Chile,1
China,451
Colombia,3
Croatia,6
Cuba,33
Cyprus,2
Czechia,41
Denmark,87
Dominican Republic,1
Egypt,44
Estonia,4
Faroe Islands,1
Finland,61
France,292
Germany,418
Greece,18
Hong Kong,41
Hungary,32
Iceland,15
India,3
Iran,51
Iraq,3
Ireland,45
Israel,43
Italy,65
Ivory Coast,3
Jamaica,10
Japan,79
Jordan,2
Kenya,18
Khazakstan,1
Kuwait,12
Latvia,5
Lithuania,5
Luxembourg,1
Malaysia,3
Mexico,78
Mongolia,1
Morocco,12
Myanmar,1
Netherlands,169
New Zealand,58
Nigeria,38
Norway,84
Panama,3
Peru,2
Peurto Rico,1
Poland,221
Portugal,17
Russia,121
Saudi Arabia,1
Serbia,5
Singapore,3
Slovakia,21
Slovenia,22
South Africa,73
South Korea,102
Spain,183
Sudan,1
Sweden,172
Switzerland,75
Taiwan,4
Thailand,16
Trinidad and Tobago,3
Tunisia,39
Turkey,5
Ukraine,111
United Arab Emirates,3
United Kingdom,394
United States of America,533
Uzbekistan,5
Vietnam,1
Zimbabwe,2
